There are 424 factions playing the game of thrones
cdgbaef cfedgab
bdfaegc geacbfd
edgbafc gecfadb
becdfag cagfbde
adbegcf edgbacf
cabgfde fgbaedc
bcgedfa cdagfbe
edabgcf cbdefga
gfebcda dagfbce
edbcgaf cdaebgf
eafbdgc afcgdeb
bgdfcea edfabgc
begcdfa ecafgbd
fdabceg edfcgba
abdgefc fdbacge
baecgfd becfdag
cfbdeag gcaebdf
dcgbfae bcgfdea
fbacgde edbgcaf
abfecgd cbgdfae
fdcaegb gfdceba
cdbagef faebcdg
bgcfead dfegbca
dfcbeag aegdfbc
gdabfce eadgfbc
cbdgafe cabegdf
adcfbge gfbdcae
aefgbcd adfbcge
dgecafb abdfceg
cdbfage bagcfed
becdgaf cfbdeag
fcgbead bagdfec
abgcdfe gbdefca
begcdfa ecafgbd
fabcdeg ecfabgd
ebfdgca gedcbfa
ecfabgd bedfcga
facdebg eafcbdg
facedbg gcbefad
afgdebc efgdcba
edbcfga acdgfbe
edgcfab cdefgba
baecgfd becfdag
becdfag cagfbde
agfedbc gbadecf
bfadgce aebgfcd
adcfbge gfbdcae
bfgadec facebgd
eacdbfg bagfdce
cgbfead baecfgd
becgafd egcfbad
fdgceba bfgcaed
eadfbgc cgfbdea
cdbfage bagcfed
bcgedfa cdagfbe
gdfbcea fgaecbd
bcgedfa cdagfbe
defcagb aegbcdf
afdbegc gcfebad
afcgdeb fgdaecb
afcbgde bdcgfea
fdbaecg acfgdbe
egbacfd gcbedaf
gbeafcd ecfadbg
eagfdcb gadcbfe
adebfgc eabdcfg
bafdgec gbefadc
cegbdaf gbdface
edgcfab cdefgba
eafbdgc afcgdeb
bcgedfa cdagfbe
bcedfga efdagbc
cabdfeg ebfdgac
fagdecb dbecagf
eafbcgd bfagced
cdbfage bagcfed
bgfdace degfbac
eadfbgc cgfbdea
afebcgd cbfdage
aefgbcd adfbcge
cgedbaf aebcfgd
cegbdaf gbdface
eadbfcg efdabgc
badgfce daebcgf
gfabedc cfebadg
ebcagfd gcabdfe
adcfbge gfbdcae
gcefdba bcdgeaf
bfgdcea fbdeacg
dfeabcg agfebcd
fdeagcb afebdgc
gdcbafe acgefdb
cfeagbd egbdfac
gbdafec edacgbf
fdabceg edfcgba
fdcaegb gfdceba
dabefgc fdaegcb
ebafcgd cedbfag
cdfbgae eafcbgd
fdcaegb gfdceba
gfabedc cfebadg
defabcg fgadbce
afcbgde bdcgfea
dfgaebc gefadbc
acdgbef eabfdcg
afebcgd cbfdage
cfeagbd egbdfac
cbedgaf cdfbeag
fcgbead bagdfec
abgcdfe gbdefca
bedagcf fegdbac
