There are 41847 factions playing the game of thrones
cijhdeabgf ajfebcdhig
hefabjdcgi gbfedhijac
afcghejibd gidfhebcaj
dfjchgieab ijgbehdcaf
icahjdebgf fjcbadehig
adjgfihbce dghejafbci
hgjiadbcfe idecabhfgj
cdeihafbjg eacfghbdij
cabdefgjih dicebfjagh
fecijhadbg dhgbjfacie
jhgifedcba hiefdbcajg
gifchbedaj dbcjighefa
dgefjbhcai bcgfedjhia
ifegbjhdca fegibdjcha
abiehdjcfg dfighjcbea
bajhcgfdei dbcaejifgh
dagibcehjf hgfjacedbi
bdchaeigfj cdiagbhefj
hefdcabijg gjhceaidbf
dgchiafebj jfbgaeicdh
ejhacidbgf jbcdfgeiah
fdeghacbji djhgebciaf
ihjdacegbf idfehcbgaj
dajfceigbh iaefgjbhdc
ijhefdgbca cdbaijghfe
bcaihfdjeg hfidgcjabe
iabgcejdhf bjdehcfgia
jfcgdbieha dehcigjfab
ebagijhcdf jgdfciheba
cbhfadeigj hfcdijageb
hbgaefcjid fhcdajbieg
dbcgejifah fdceagjbhi
cjidehagbf cijdabhgfe
gefijchdab bedifhcagj
dbefcaighj cfhejgbadi
jhbfgaiedc fihjdgecab
cfajgibdhe efiabdghjc
eafdjhbcgi ifeghjbcda
djhficegab dhbajgifec
jedgaibfch dibeghjacf
hidgfbeacj gejcdibfah
hbigdcajfe dcjfgaeihb
dichgfjeab fdcjhbgiae
diafgcjhbe geafidhbjc
hjabedfcgi biadchegjf
ghajbeifdc ibcgdjaehf
bahcfdegji ihdcgebajf
edbjcaifhg idgeajbfhc
afchjdigbe igfcjdehab
gcajhbifde dcjhigaefb
gijadehbcf fecbiaghjd
ifdaejchbg hcjigdbaef
hefdaigbjc habfidejcg
cjhfbeiagd jefahidcbg
dhcgbfajie fgjibeachd
fhdbecjgia egdciabfjh
dijaechbgf agjbdfihce
agcehijfdb ebfajcgidh
ifbjceadgh gjhcbadfei
djcihfgeba jacdgebhif
fjeahcdbig jigafecbhd
hdfcbaigje bijhgdfcea
hcafgejbid hjadbicegf
idbacejfhg edbhigfajc
hbjedfciga fbdgjhiace
diebacjhfg bijahecdgf
jfcahdgbie gcjaifdbeh
cbfagdjehi eibgafdjch
jfdhcaebig hdjgbfiaec
abjfidghec dhagecijbf
gdibeafcjh djbcafihge
jchagbfedi gdecijfabh
dhbgecaijf bhdfijcega
edfajcibhg gbchaejidf
efjhcagdib fbjhicedag
hjdfgiecba aejcdhifgb
gijfbheadc ghfceaidbj
ecjihfdgba hedgbjfiac
fachejgbid ghiedcjafb
dcehfigjba eihjdcbfga
ijhbcegfda cfdhaebigj
aebcifjhgd ghcfdbajei
cbgahjifed gdechabfji
hgfabdejic iabhdgfejc
fijehgbadc hjcfdeiagb
egidabchfj dfhjibeagc
ghdaeifbjc djcgbhafei
iefgjbdcha eagbfjichd
jdcbaghefi bhgajfcide
hcbgedajif ehgbiajcfd
aejchgfibd aichfdjbeg
hjdaicbfge jgifbecadh
acidjehfgb edbjcahigf
jfdbihgeca eafbghcjdi
jcfgeahdbi idhcgfbeja
cibdahfjge gfchadjieb
edfacgbhij ajeicghdbf
ahdgifjcbe cifbgdajeh
ghdjcbeafi gbfjeaicdh
beigchjadf jihcebdfag
cfdgebjaih gdeabjfhci
cfjeiahdgb gjichfeadb
ehbdacjigf jfbceahgid
hfbecaigjd gebidhfajc
cafdegbjih gbdiacjfeh
eighbdfajc fdecjagbih
gdhfjecaib haeifcjgdb
cfgehbijad gbhafijdce
ifdjcbaghe cgefadijbh
ecgjidfbah agijchbdfe
gfcajdiebh jbhdaficeg
eigfhcdajb ajdgehicbf
ecahjidgbf efibadhjgc
aibfhjedgc jchefaidgb
eifhjcbgad fjhcaegbid
afdcjhgebi deacjbhgfi
