There are 4672 factions playing the game of thrones
bgedfca adfbceg
bfacged ecfbdga
gfbcead agbfdce
fcgbaed cfdabeg
feagdcb bcedfag
gfbcade fbdaegc
febgacd bafdgec
bcagedf cgdfbea
cbgefad dfgeacb
cdgaefb acdebgf
edfgbac fabcged
aegdcbf fadcbge
gcbefda cbfgade
fgadcbe fagcbed
bfdaegc dcfgaeb
cfedgab gadfebc
gbcefda dgebfac
cfegadb dcagbfe
degfbac fbgdcea
cfgdabe afbegdc
aedgbfc bfdcgae
dgcafbe edbgafc
bdaegcf acdebfg
dbfgcae afdgbec
bafgdce ecdgabf
fecbadg fdgbeca
ebdcafg eabgdfc
feagbcd dgcebaf
ebgcdaf facdbeg
gedcbfa abdegcf
dbcgefa egdacfb
cadfbeg gadecfb
bcdeagf bedgcaf
cebgdfa febgdac
ebgdfca bfcaegd
fegbacd aefdbgc
bfegdac gaedfbc
dgefbac gfebacd
dbegacf dgbcfae
dafbegc bfecgda
fadcgeb acfbegd
dfcabeg ebgdafc
fecbgad cbgefad
cfbaged facgdeb
dgbafec cfbgeda
cfadbeg dagbefc
aebcgdf agedfbc
gfdeabc dgfcabe
efbgcda fcabdge
dbfgcae afdgbec
bgcfaed edabgcf
feacdbg bcadefg
ebcdgfa cgbdafe
aefgbdc gaefdbc
fbdcgea bgcdafe
gecafbd cebgfda
bdaefcg aedfgcb
gbfeadc faedgcb
bfcdega cdfgeba
gefcadb gedcafb
defgcba abfcedg
gfcdeab aecfdgb
acbegfd dfgabec
bagefcd dgcbeaf
fgedcba fdbagec
cbdeafg begdcaf
egacdfb dfcabeg
bcfgdea acefbdg
afbegcd bcgafed
fdgbcea bcfdeag
bcedfga adebfcg
gbeacfd debcafg
decbfag aecbdgf
abcegfd cfaegdb
eafcgdb fecdgab
egdbcfa bgedacf
eafcdgb adbcgef
bgdcefa gbecdfa
bcdafeg degafcb
eadbgfc fdcbega
cdgeafb cbgfead
dcbfega cegfadb
fgbaedc geadcbf
efdacgb gcaedfb
fgceabd efbcgda
dcgefab edfbgca
fgedacb geafcdb
daebgcf dfaebgc
bdagfce fecgabd
