There are 496 factions playing the game of thrones
bcdeigjahf aifdghecbj
hjaedicfbg eifhgdbajc
bcjadifhge agfcheidjb
acijehdfbg bidhjcgafe
fbjgdcaieh fabdgjhcie
jigebadfch hdbifagejc
ajecbfdhig chjebigdfa
jfghacdbei hbjdacfige
bchjdgiefa hifabjgedc
ihgjbadcfe eigdajchbf
jcigbahfed hjcdgieabf
gedfhjbica jecdhibgfa
cjabifghde hdcjgaefib
djbhfigcae gjbacfheid
bjfdieghca agjbdcifeh
fbgdijhace fjhcdgbeia
cjgdbeahif dcabgifhej
gcfjieadbh gchejdaibf
fdghaceibj fbhiaecdjg
fegadchbij cgihjebfda
hfcbedjgia fbgejhdaic
ehagifbdjc ejgidcfbah
dcabjifhge heacijdfgb
jiacehgfdb achbgdiefj
baidegfhjc agifcejbdh
dhceiajbfg ebjiachgdf
abdcjefigh ifjbeahcgd
iefjdcagbh ebhcaidgfj
afjdheicgb geihbjcdaf
bjgfhciade ebfdjghiac
idfjhcebga eiajhdbgfc
jcehgidfab hcaeifdbgj
jagchfeibd djfecgaibh
fhcebigjad hebjfcgdia
jbfedchgia facihjdegb
hcjagdfieb ichebgafdj
hadeifjbgc ifehbdgjca
ihdcbfjeag hcefiabgdj
idbfhecagj jighefbdac
deiacjghbf bhcjgfaide
hafgedjcib aecbfhjgid
jibhfdagce ahfcdegbji
ajidgfbech bachegjdfi
idfjcagehb bijfahdgce
cahjegdibf hfjcaibgde
jhegacdbif gjbedfacih
bigcejfhad jcehiadbgf
hcijdbfgea jbfgdaiche
gcibdfahje hecabjdifg
cgdebajihf acebijgdhf
dhceiajbfg ebjiachgdf
abdejgfhic ecjhgaibdf
ijbfgedahc egbjdhafic
hfcbedjgia fbgejhdaic
abdcjefigh ifjbeahcgd
hbfeagicjd gchjdaebfi
cejigdhbaf jchigfedab
aecdfbihgj gajbdechfi
icagbhfejd jehagdbicf
iegcjahfdb bifdacgejh
edjiaghcfb dcjfhgeabi
fbegiacjhd cdgebfhaij
caihdejgbf eijbdfhagc
bgihdjafec bejcafgihd
gbdfjceaih bdghjciafe
ibdfjhecga cebijgdahf
hgfjceibda egbjfahicd
cehgbifdja iagjfcebhd
ebcdagifhj aechibgdfj
iegcbfhjda gbcjieafdh
afcdgejbih bjedfiahcg
fjigdhaceb jdcbagifeh
cfdiajbhge cdgaihjbef
fjbcgdhiea cihfadgebj
baidegfhjc agifcejbdh
ibagdjfech gdfjecabih
cfdiajbhge cdgaihjbef
ceabdghfji cbgadefhij
idfjhcebga eiajhdbgfc
jigebadfch hdbifagejc
bhiagfdejc abifegcdhj
diafgechjb gfhidaejbc
geabjcifhd ihcfdjabge
ghcadbjfie befjicdhag
gdjifhaebc hegacfbijd
