1000
afegcdb gdcfbea
deacbfg bfegadc
adgebcf ecbgafd
gfdcabe dfbagce
gdcbefa bgdfcea
gdbecfa efgdcab
gbcdafe badgfce
fbecadg gfbdeac
adbgfce fcgdaeb
adecgfb febgcda
cbdagef ceagbdf
aebcdgf egdacbf
gfbeadc aefbcgd
agcbfde gdbeacf
bdfgace cbgedfa
eabdcfg ebfadcg
ceabfgd acfdebg
cdagfbe fcdbgae
gacfebd acgbefd
edgbcfa fabgdec
aefcdgb agfdcbe
ecdgafb fgbedac
dfbcgea acbfegd
fadcegb bgdecfa
adgcfeb gebadcf
daefbcg fbdgcea
bfgdcea fbdeacg
gcbfdea ebcagdf
bgfecad aecbgfd
gdfecab gdcbfae
fdaebgc cfgaedb
bgaefdc ecdgbaf
dgbafce gadfecb
dcegabf bgcafde
dcfegba deafcgb
feabgcd geabcfd
adgcbef dcefagb
eafbcgd bfagced
dbgeacf efacdbg
aefcbgd gceadfb
fbeadgc fbcaedg
gcdbeaf dgfeacb
cgdaefb efbdgca
debfacg dacbgef
beadgfc cdgefba
dfeacbg fbcgeda
cfgdeab bgcdefa
fegdabc acdfbeg
cdafgbe fagdcbe
caedbgf dfabegc
adfgecb gfcbdea
adcebfg agbfedc
dbcegfa cfbedag
cbafedg bcgaedf
cbdgafe cabegdf
fcbegad dcgebfa
gcbafed aefdcbg
bdegcaf acgfbde
dgacebf ecdgbfa
dfcbeag aegdfbc
dbecgaf efcgdab
acbfgde fedbacg
dgcafeb ecgdafb
gcfeabd cefabgd
aefbcdg cadfegb
becgafd egcfbad
aecbfdg cbfdega
afcedgb bgfecda
gcfebda fagdecb
aebfgdc bgafced
aecgbfd gabfced
fbdgcea fgdbeac
gcafdeb cgfedab
degfbac egdcbaf
bcagfde eacgbdf
afgbecd bcgfead
gdafcbe cbadfge
gfebcda dagfbce
aefgbcd adfbcge
gdcebaf agdefbc
bdcgeaf egfcdba
fdbgeca fegdcab
dgafcbe fadegbc
dfbgeac cagbdfe
gcfedab cgbedfa
bcefadg cdebgfa
baecfgd cfgebad
cdfagbe eadcfgb
defgbca cdbgfea
dgbefac dgebcaf
fagcebd aebfdgc
cbagedf dcafgbe
edabfgc fcabdeg
gcfadeb debagfc
gdbafec cdbefga
agcdebf fegadcb
bgcfead dfegbca
gbeadcf cebdgaf
gabcdef fdecbag
dgabefc ceafdgb
aedgfbc cefagdb
dcagfeb fbdgeac
bfdaceg febgcad
cabefdg afbgdce
agbfedc gcdabfe
efcbagd dfaecgb
fcgedba gafecbd
