5000
dfcabge edcfgba
fadegbc aedbcgf
cdeafgb dbfgcae
cgbdfea bcdfgea
begcafd dgabfec
ecabdfg facbdge
cdfabge cgfbead
acedfbg fegdbca
eafbgcd gefacbd
ebgdcfa dcbfaeg
bdcegfa dfebgac
eabdcgf cedfagb
dgacbfe cdgfeab
ecgfdba dfbgcea
dcgefba bcdafge
dagebcf fcedabg
gedacfb cgafbed
bdaefcg aedfgcb
ebadfcg fdcegba
debfacg befcagd
bgefacd gfdecab
cfbgead dafcgeb
bgeacfd fdacbge
aedfcbg ebcgdfa
bgedfca adfbceg
cdagbfe gfbdaec
ecbgdaf bcafgde
cadbgfe bgaefcd
fdgbeca afcdbeg
fdgebac fgcabde
cbdagfe dbgacef
geacdfb edgbcaf
decgfba dbcfaeg
dbegacf dgbcfae
decgabf dfcgeba
afbcdge abefgdc
adcfegb dgbaefc
fdacgbe gbdfcae
bgacefd feadgbc
becdgfa cegdfba
fbdceag deafgbc
cdefagb bagdfce
agbfcde gbdafce
fagbedc fabecdg
fgedcba fdbagec
adgfebc dacfebg
fcabdge cbaedgf
bdaegcf acdebfg
efbcdga ecbafgd
gbcedaf fdcebga
bcfgade bgfdeac
dcgebaf fbgcdea
gbdacef eacgdfb
agdbfec begadfc
bcefagd dfacbeg
cafbdeg afbgcde
cbefgda bacgefd
gcfeadb bgfeacd
dagfceb cafgebd
acbefdg fbagecd
edbgcfa ecfbagd
agbcefd baecgfd
bdacfeg dgfebca
fbacdge fdgbeac
cgbeafd dcfegba
cgedbfa bdaegcf
ecdagfb fbagdec
ebdafgc gfabedc
fdagecb bcfgeda
gabdfec cfagedb
gadbcfe gdbfeac
afdecbg afebdgc
fcgdeba adcebgf
dcefabg gcbfead
abecgdf cbdfage
faecgdb cdagfbe
gbedcfa adfcgbe
cbedgfa bcefdga
fbedcga egcadbf
egdbfac bfcdgea
aedgbfc bfdcgae
decfagb fegcbad
fadcgeb acfbegd
gdefcba dfcbgea
dbgfaec bdcafeg
cdgefab bgfdace
fcaegdb dfceagb
dcegbfa bacdefg
gbfcdae cdfagbe
ebdgfac cfaebgd
gebcdfa acfdgeb
gbcaefd agfcebd
dcefgab cafbged
dfbacge cdegafb
egdacbf bfedcag
cdabegf agbecfd
adcgbfe cfdegba
gdbcefa faegbdc
afecgdb efgadcb
dabegcf abedgfc
gdabfce agbfdec
dcbagef gcebfad
aecdfbg bgacedf
bfedcga efbacdg
bedcfag cbgadfe
fdegacb abgdecf
fdacbeg agcbefd
efcadbg dcaegbf
bacdfge bafcdeg
dagecbf adgfecb
fcdegba bdegfca
egafcdb cadgbef
gacfbed cadbfeg
