There are 94694 factions playing the game of thrones
gdhabecfji fdicejbhag
afhgijbedc dachibefgj
jbigdfaehc ahgebcjifd
cjabiehdgf heifadjbcg
bidcfajghe jahidbegfc
cfajghdbie acfdjhibeg
fdaeigbjhc acijedfgbh
abgifejhdc giahecjfdb
acifjhebdg iagbjdcfhe
fahjegdibc cihegjbdfa
dghicfabej dejbhafgci
acghdbfije cjfehidbag
diagcfhejb dacejhifgb
cfbgdijahe hcdjfbaeig
bdghjfcaie bjfgaciehd
bihacegfjd ihgeacbdfj
ijhdgfbaec gejbihacfd
giacjbdfeh ebhgcfaidj
dfcgiebhaj cehafdibgj
ejhicadgbf dagjeihcbf
fghjdebcia jeaficgdhb
adhibgjcef bcaihdegfj
chjgibafde ebdahgcfij
giahcbedfj ajecdbgihf
iafdjebcgh dfegabjhci
ajidfcehgb eidagbhjcf
dcgafbjeih fcdijhageb
dbfjciegah eabcijhdfg
ecjgahfdbi egijdbacfh
eigcdfhabj fiejhadbgc
ibaefdjcgh djgfhbeaic
hcegaijfbd cgbfjdeiha
eifhcgbajd cebfagdhji
ichdgbjfae bigahefcjd
aehbdfgjci bcjfhaiedg
jahecdbfig jgfidacehb
afhcgbdjie hjdefgibac
gibheacjdf dhfcgabjei
fihcdejagb aifcgjbehd
cjhagbdfei aijfhbegdc
chafijgdeb gdcaehfbji
jeacdhfbgi fjeagdbich
gbjiafcdeh hbdjegaicf
bghdafcjei chjdiafgeb
jieabcgdhf gibajfched
dhfiegbajc dbhigjeacf
eifghadcbj ecigjfahbd
bgajihdfec cbfeadhjgi
hbgafcijde bfcajhdgie
jfihaebdgc dijbagfceh
bfijghdeac fjdehbciga
bjdeagihcf haejbgdfci
jgbacheidf fdcajgbhei
hgejbcaidf dceiaghbfj
hidaegcfbj dcbifejahg
dghafebjci dghbaefjic
jbheadfcgi dcfjabigeh
gafidbjehc gdeibcfhja
ebcihfgadj efgdcibjha
gdeaicjhbf abegfjhicd
aiehdbgjcf aghfdbjeci
ifbgcedahj gcbhfeiajd
ejgfbhdaic fcdehbigja
jfihcgadeb dbahcgeijf
ibecgjfdha afbihdecjg
gjaebdfich habgfdicje
fhaeicdjbg edibghcfaj
adhibgjcef bcaihdegfj
bjafhgeidc befhiadcjg
